TF,ADX,Str,SL_M,TP_M,Ret %,Win %,Trades,P.Factor,MaxDD
1h,25,4.0,1.5,2.0,3.47,66.67,6,2.42,-2.98
1h,25,4.0,1.5,3.0,3.47,66.67,6,2.42,-2.98
1h,25,4.0,2.5,3.0,3.47,66.67,6,2.42,-2.98
1h,25,4.0,2.5,2.0,3.47,66.67,6,2.42,-2.98
1h,25,4.0,2.0,4.0,3.47,66.67,6,2.42,-2.98
1h,25,4.0,2.0,3.0,3.47,66.67,6,2.42,-2.98
1h,25,4.0,2.0,2.0,3.47,66.67,6,2.42,-2.98
1h,25,4.0,1.5,4.0,3.47,66.67,6,2.42,-2.98
1h,25,4.0,2.5,4.0,3.47,66.67,6,2.42,-2.98
1h,20,4.0,1.5,2.0,2.31,57.14,7,1.51,-3.22
1h,20,4.0,2.0,4.0,2.31,57.14,7,1.51,-3.22
1h,20,4.0,1.5,3.0,2.31,57.14,7,1.51,-3.22
1h,20,4.0,2.5,3.0,2.31,57.14,7,1.51,-3.22
1h,20,4.0,2.5,2.0,2.31,57.14,7,1.51,-3.22
1h,20,4.0,2.5,4.0,2.31,57.14,7,1.51,-3.22
1h,20,4.0,2.0,2.0,2.31,57.14,7,1.51,-3.22
1h,20,4.0,1.5,4.0,2.31,57.14,7,1.51,-3.22
1h,20,4.0,2.0,3.0,2.31,57.14,7,1.51,-3.22
1h,0,4.0,2.5,4.0,2.18,60.0,6,1.58,-3.97
1h,0,4.0,1.5,2.0,2.18,60.0,6,1.58,-3.97
1h,0,4.0,1.5,3.0,2.18,60.0,6,1.58,-3.97
1h,0,4.0,1.5,4.0,2.18,60.0,6,1.58,-3.97
1h,0,4.0,2.0,2.0,2.18,60.0,6,1.58,-3.97
1h,0,4.0,2.0,3.0,2.18,60.0,6,1.58,-3.97
1h,0,4.0,2.0,4.0,2.18,60.0,6,1.58,-3.97
1h,0,4.0,2.5,2.0,2.18,60.0,6,1.58,-3.97
1h,0,4.0,2.5,3.0,2.18,60.0,6,1.58,-3.97
4h,25,4.5,1.5,2.0,1.21,100.0,1,inf,-4.19
4h,0,4.5,2.0,3.0,1.21,100.0,1,inf,-7.32
4h,20,4.5,2.5,4.0,1.21,100.0,1,inf,-7.32
4h,25,4.5,2.5,4.0,1.21,100.0,1,inf,-4.19
4h,25,4.5,2.5,3.0,1.21,100.0,1,inf,-4.19
4h,25,4.5,2.5,2.0,1.21,100.0,1,inf,-4.19
4h,25,4.5,2.0,4.0,1.21,100.0,1,inf,-4.19
4h,25,4.5,2.0,3.0,1.21,100.0,1,inf,-4.19
4h,25,4.5,2.0,2.0,1.21,100.0,1,inf,-4.19
4h,25,4.5,1.5,4.0,1.21,100.0,1,inf,-4.19
4h,0,4.5,1.5,2.0,1.21,100.0,1,inf,-7.32
4h,0,4.5,1.5,3.0,1.21,100.0,1,inf,-7.32
4h,0,4.5,1.5,4.0,1.21,100.0,1,inf,-7.32
4h,0,4.5,2.0,2.0,1.21,100.0,1,inf,-7.32
4h,0,4.5,2.0,4.0,1.21,100.0,1,inf,-7.32
4h,25,4.5,1.5,3.0,1.21,100.0,1,inf,-4.19
4h,20,4.5,2.0,2.0,1.21,100.0,1,inf,-7.32
4h,20,4.5,2.5,3.0,1.21,100.0,1,inf,-7.32
